ID,SPECIES,MPCR,MPCRGroup,CARBA5,CARBA5Group,mCIMeCIM,CPO,Name,FirstAll_mCIM,Conventional_mCIM,FirstAll_mCIM_All,FirstAll_MPCR,Conventional_MPCR
32976,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
32982,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
32985,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
32994,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33006,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33017,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33036,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),NDM,NDM
33039,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33048,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33077,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33083,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33105,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33160,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33167,KP,NDM,IMP/NDM/VIM,KPC+NDM,Others,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33198,KP,NDM,IMP/NDM/VIM,OXA,KPC/OXA,mCIM(-)/eCIM(-),Class A or D,Klebsiella pneumoniae,(-),(-),(-),NDM,NDM
33199,KP,NDM,IMP/NDM/VIM,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,KPC
33208,KP,NDM,IMP/NDM/VIM,KPC+NDM,Others,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,KPC
33225,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33259,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33300,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),NDM,NDM
33318,KP,NDM,IMP/NDM/VIM,KPC+NDM,Others,mCIM(+)/eCIM(-),Class B,Klebsiella pneumoniae,(+),(+),(+),NDM,KPC
33321,KP,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),NDM,NDM
33194,KP,VIM,IMP/NDM/VIM,Negative,Negative,mCIM(+)/eCIM(+),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),VIM,Negative
33195,KP,VIM,IMP/NDM/VIM,OXA+NDM,Others,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),VIM,OXA
32840,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
32876,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
32888,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33174,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33203,EC,KPC,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class B,Escherichia coli,NA,NA,(+),KPC,KPC
33239,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33243,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33249,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33252,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class B,Escherichia coli,NA,NA,(+),KPC,KPC
33314,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33357,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33362,EC,KPC,KPC/OXA,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC,KPC
33369,EC,KPC+NDM,Others,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC+NDM,KPC
33376,EC,KPC+NDM,Others,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),KPC+NDM,KPC
32945,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Escherichia coli,NA,NA,(+),OXA,OXA
32987,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),OXA,OXA
33144,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class B,Escherichia coli,NA,NA,(+),OXA,OXA
33172,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Negative,Escherichia coli,NA,NA,(+),OXA,OXA
33175,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class B,Escherichia coli,NA,NA,(+),OXA,OXA
33274,EC,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Negative,Escherichia coli,NA,NA,(+),OXA,OXA
32931,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
32944,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
32990,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
32996,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
33089,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
33222,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(-),Class A or D,Escherichia coli,NA,NA,(+),NDM,NDM
33298,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
33311,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
33350,EC,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),NDM,NDM
32863,EC,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Escherichia coli,NA,NA,(+),VIM,VIM
33068,ENT.CLOACAE,KPC+IMP,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),KPC+IMP,Negative
33132,ENT.CLOACAE,KPC,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),KPC,Negative
33143,ENT.CLOACAE,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),KPC+OXA,Negative
33188,ENT.CLOACAE,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),KPC+OXA,Negative
32966,ENT.CLOACAE,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),OXA,Negative
33107,ENT.CLOACAE,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Enterobacter cloacae complex,NA,NA,(+),OXA,OXA
33121,ENT.CLOACAE,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Enterobacter cloacae complex,NA,NA,(+),OXA,OXA
33130,ENT.CLOACAE,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Enterobacter cloacae complex,NA,NA,(+),OXA,OXA
33261,ENT.CLOACAE,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Enterobacter cloacae complex,NA,NA,(+),OXA,OXA
33004,ENT.CLOACAE,NDM,IMP/NDM/VIM,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),NDM,Negative
32963,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
32998,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33024,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33029,ENT.CLOACAE,IMP,IMP/NDM/VIM,NDM+IMP,Others,mCIM(+)/eCIM(-),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33060,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class A or D,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33061,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33065,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33071,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33086,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33108,ENT.CLOACAE,IMP,IMP/NDM/VIM,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),IMP,Negative
33135,ENT.CLOACAE,IMP,IMP/NDM/VIM,Negative,Negative,mCIM(-)/eCIM(-),Negative,Enterobacter cloacae complex,NA,NA,(-),IMP,Negative
33162,ENT.CLOACAE,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Enterobacter cloacae complex,NA,NA,(+),IMP,IMP
33161,CITRO.FREUNDII,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter freundii complex,NA,NA,(-),KPC+OXA,Negative
32139,CITRO.FREUNDII,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(-),Class B,Citrobacter freundii complex,NA,NA,(+),OXA+NDM,OXA
32155,CITRO.FREUNDII,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(-),Class B,Citrobacter freundii complex,NA,NA,(+),OXA+NDM,OXA
32487,CITRO.FREUNDII,OXA+IMP,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter freundii complex,NA,NA,(-),OXA+IMP,Negative
32724,CITRO.FREUNDII,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter freundii complex,NA,NA,(+),OXA,OXA
32873,CITRO.FREUNDII,OXA+IMP,Others,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),OXA+IMP,OXA+IMP
32878,CITRO.FREUNDII,OXA+NDM,Others,OXA+NDM,Others,mCIM(+)/eCIM(-),Class B,Citrobacter freundii complex,NA,NA,(+),OXA+NDM,NDM
33101,CITRO.FREUNDII,OXA,KPC/OXA,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(-),Class B,Citrobacter freundii complex,NA,NA,(+),OXA,OXA
33221,CITRO.FREUNDII,OXA+IMP,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter freundii complex,NA,NA,(-),OXA+IMP,Negative
32174,CITRO.FREUNDII,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),NDM,NDM
32746,CITRO.FREUNDII,NDM+VIM,Others,NDM+VIM,Others,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),NDM+VIM,VIM
32867,CITRO.FREUNDII,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),NDM,NDM
32515,CITRO.FREUNDII,IMP,IMP/NDM/VIM,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter freundii complex,NA,NA,(-),IMP,Negative
32661,CITRO.FREUNDII,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),IMP,IMP
32669,CITRO.FREUNDII,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Citrobacter freundii complex,NA,NA,(+),IMP,IMP
32718,CITRO.FREUNDII,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),IMP,IMP
32726,CITRO.FREUNDII,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),IMP,IMP
32790,CITRO.FREUNDII,IMP,IMP/NDM/VIM,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter freundii complex,NA,NA,(-),IMP,Negative
32797,CITRO.FREUNDII,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Citrobacter freundii complex,NA,NA,(+),IMP,IMP
31871,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),KPC+OXA,OXA
31883,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC
32069,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,OXA
32256,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC
32437,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,OXA
32548,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,OXA
32569,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC
32667,CITRO.KOSERI,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),KPC+OXA,Negative
32704,CITRO.KOSERI,KPC+OXA,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),KPC+OXA,Negative
32904,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC+OXA
32923,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC+OXA
32992,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC
32999,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,KPC
33070,CITRO.KOSERI,KPC+OXA,Others,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),KPC+OXA,OXA
31717,CITRO.KOSERI,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),OXA,OXA
32591,CITRO.KOSERI,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),OXA,Negative
32836,CITRO.KOSERI,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Citrobacter koseri,NA,NA,(+),OXA,OXA
32919,CITRO.KOSERI,OXA,KPC/OXA,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),OXA,Negative
32948,CITRO.KOSERI,OXA+IMP,Others,Negative,Negative,mCIM(-)/eCIM(-),Negative,Citrobacter koseri,NA,NA,(-),OXA+IMP,Negative
33096,CITRO.KOSERI,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Citrobacter koseri,NA,NA,(+),OXA,OXA
32857,K.AEROGENES,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(-),Class A or D,Klebsiella aerogenes,NA,NA,(+),OXA,OXA
32788,K.AEROGENES,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella aerogenes,NA,NA,(+),IMP,IMP
32821,K.AEROGENES,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class Unknown,Klebsiella aerogenes,NA,NA,(+),IMP,IMP
32908,K.AEROGENES,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella aerogenes,NA,NA,(+),IMP,IMP
32980,K.AEROGENES,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella aerogenes,NA,NA,(+),IMP,IMP
33176,K.AEROGENES,IMP,IMP/NDM/VIM,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella aerogenes,NA,NA,(+),IMP,IMP
33062,K.OXYTOCA,KPC,KPC/OXA,IMP,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),KPC,IMP
32859,K.OXYTOCA,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella oxytoca,NA,NA,(+),OXA,OXA
32884,K.OXYTOCA,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella oxytoca,NA,NA,(+),OXA,OXA
32933,K.OXYTOCA,OXA,KPC/OXA,OXA,KPC/OXA,mCIM(+)/eCIM(+),Class A or D,Klebsiella oxytoca,NA,NA,(+),OXA,OXA
31474,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
31781,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
32293,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
32618,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
32621,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
32778,K.OXYTOCA,NDM,IMP/NDM/VIM,NDM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),NDM,NDM
31748,K.OXYTOCA,VIM,IMP/NDM/VIM,Negative,Negative,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,Negative
31756,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
31898,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
31905,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
31911,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
32114,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
32161,K.OXYTOCA,VIM,IMP/NDM/VIM,VIM,IMP/NDM/VIM,mCIM(+)/eCIM(+),Class B,Klebsiella oxytoca,NA,NA,(+),VIM,VIM
32953,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32954,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32956,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32961,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32972,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32975,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
32978,KP,Negative,Negative,KPC+NDM,Others,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),Negative,Negative
33003,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),Negative,Negative
33007,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33008,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33012,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33015,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33018,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33026,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33034,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(+),(-),Negative,Negative
33049,KP,Negative,Negative,KPC,KPC/OXA,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),Negative,Negative
33051,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33078,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33080,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33081,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33084,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33092,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33093,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33098,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33103,KP,Negative,Negative,Negative,Negative,mCIM(-)/eCIM(-),Negative,Klebsiella pneumoniae,(-),(-),(-),Negative,Negative
33109,KP,Negative,Negative,Negative,Negative,mCIM(+)/eCIM(-),Class Unknown,Klebsiella pneumoniae,(+),(+),(+),Negative,Negative
